nhiet_do_moi_truong,nhiet_do_quy_trinh,toc_do_quay,momen_xoan,do_mon_dao,loai_san_pham,ca_lam_viec,hong_hoc
301.21,311.8,1864.3,47.52,210.9,H,Chiều,0
302.66,311.52,1727.1,49.32,175.7,L,Đêm,0
300.39,312.23,1516.6,42.7,54.5,L,Sáng,0
298.27,308.38,1555.3,23.12,247.7,M,Sáng,1
301.02,310.22,1356.7,39.02,30.4,M,Đêm,0
297.43,305.42,1327.1,37.59,39.1,M,Sáng,1
298.88,308.65,1398.9,21.46,248.5,L,Sáng,0
303.71,312.72,1441.7,39.15,183.6,L,Đêm,0
301.02,310.02,1599.6,57.04,153.8,L,Sáng,0
302.05,311.6,1725.6,26.67,137.2,M,Đêm,0
302.56,312.9,1640.9,28.29,121.9,L,Đêm,0
300.57,309.34,1525.8,30.37,171.9,H,Đêm,0
301.58,312.4,1281.1,28.72,118.8,L,Chiều,0
301.61,310.22,1601.2,31.24,115.7,L,Chiều,0
300.24,310.91,1505.9,44.01,20.9,M,Chiều,0
298.67,308.61,1670.2,47.76,95.8,M,Sáng,0
296.89,307.55,1418.0,55.11,102.9,M,Chiều,0
303.45,313.58,1714.6,39.78,141.4,L,Chiều,0
297.41,307.05,1709.1,35.76,12.8,M,Chiều,0
299.85,309.4,1561.3,40.76,198.9,H,Chiều,0
301.53,310.16,1662.3,38.99,200.3,H,Chiều,0
301.44,310.96,1218.9,35.57,9.6,L,Sáng,0
301.99,313.51,1523.2,26.13,118.1,H,Sáng,0
300.45,311.28,1629.7,40.8,130.9,H,Đêm,0
298.0,308.76,1683.7,33.33,130.1,M,Sáng,0
298.74,307.67,1293.1,42.34,151.2,L,Đêm,0
300.73,310.22,1541.8,53.61,19.8,M,Chiều,0
299.86,309.6,1693.5,40.07,11.1,H,Chiều,0
301.29,311.4,1282.3,38.98,0.6,H,Đêm,0
302.39,314.19,1740.7,36.19,137.3,L,Sáng,0
300.96,309.86,1654.3,54.12,95.0,L,Sáng,0
300.13,311.28,1576.0,27.49,206.0,L,Chiều,0
301.16,311.26,1646.4,32.15,13.6,M,Đêm,0
303.89,314.11,1674.2,27.92,74.2,L,Đêm,0
299.09,308.7,1315.6,34.93,75.8,L,Đêm,0
296.2,306.47,1401.6,43.04,194.5,M,Sáng,0
296.0,306.83,1317.7,31.37,214.5,H,Đêm,0
298.17,306.92,1221.2,45.34,84.4,H,Sáng,0
301.78,312.05,1552.7,30.43,205.2,M,Đêm,0
298.37,307.69,1724.4,56.57,145.3,M,Sáng,0
299.67,309.76,1826.5,39.76,175.7,L,Chiều,0
299.71,310.92,1704.1,41.01,59.9,M,Chiều,0
