iter	Passed	Remaining
0	10	4305
1	20	4168
2	30	4084
3	41	4092
4	51	4057
5	60	3978
6	70	3985
7	82	4020
8	91	3954
9	100	3907
10	110	3890
11	119	3867
12	131	3908
13	141	3910
14	151	3881
15	161	3885
16	174	3929
17	184	3912
18	194	3908
19	205	3896
20	215	3884
21	225	3879
22	235	3866
23	248	3888
24	260	3903
25	271	3909
26	282	3908
27	293	3902
28	304	3896
29	314	3884
30	327	3893
31	337	3880
32	348	3876
33	359	3867
34	370	3862
35	381	3860
36	393	3863
37	406	3869
38	417	3861
39	428	3858
40	439	3849
41	451	3851
42	462	3841
43	474	3836
44	484	3825
45	495	3812
46	506	3804
47	517	3795
48	527	3780
49	540	3784
50	551	3774
51	562	3764
52	574	3758
53	584	3748
54	599	3759
55	612	3761
56	623	3750
57	633	3735
58	644	3723
59	654	3710
60	666	3704
61	679	3702
62	689	3688
63	701	3684
64	713	3674
65	724	3666
66	735	3656
67	748	3653
68	760	3646
69	772	3640
70	785	3638
71	796	3629
72	808	3623
73	820	3616
74	832	3609
75	845	3604
76	858	3599
77	871	3595
78	883	3589
79	895	3582
80	908	3578
81	920	3570
82	933	3564
83	945	3556
84	959	3555
85	972	3550
86	984	3543
87	998	3538
88	1008	3522
89	1018	3506
90	1030	3500
91	1044	3496
92	1058	3493
93	1072	3490
94	1085	3483
95	1097	3474
96	1109	3466
97	1121	3457
98	1133	3446
99	1145	3436
100	1158	3429
101	1170	3419
102	1182	3409
103	1194	3400
104	1206	3390
105	1219	3383
106	1231	3373
107	1245	3367
108	1256	3354
109	1268	3344
110	1280	3333
111	1293	3325
112	1305	3315
113	1317	3306
114	1330	3298
115	1342	3286
116	1353	3274
117	1365	3263
118	1377	3253
119	1389	3242
120	1402	3233
121	1413	3221
122	1426	3212
123	1442	3210
124	1457	3207
125	1471	3200
126	1484	3190
127	1496	3180
128	1509	3170
129	1522	3162
130	1535	3153
131	1549	3146
132	1561	3135
133	1572	3122
134	1584	3109
135	1595	3097
136	1610	3090
137	1621	3078
138	1632	3065
139	1644	3053
140	1657	3043
141	1668	3032
142	1680	3019
143	1695	3013
144	1708	3004
145	1721	2994
146	1734	2985
147	1747	2976
148	1762	2968
149	1775	2959
150	1788	2949
151	1801	2939
152	1816	2932
153	1830	2924
154	1842	2912
155	1853	2899
156	1866	2888
157	1878	2877
158	1891	2867
159	1904	2856
160	1916	2844
161	1930	2835
162	1942	2824
163	1954	2812
164	1966	2801
165	1979	2789
166	1990	2777
167	2001	2764
168	2016	2756
169	2029	2745
170	2042	2734
171	2055	2725
172	2067	2713
173	2081	2703
174	2094	2692
175	2106	2680
176	2119	2670
177	2131	2657
178	2142	2645
179	2154	2633
180	2165	2620
181	2176	2607
182	2187	2594
183	2200	2583
184	2211	2569
185	2225	2560
186	2235	2546
187	2248	2535
188	2260	2524
189	2272	2511
190	2284	2499
191	2296	2487
192	2308	2476
193	2320	2463
194	2335	2454
195	2347	2442
196	2359	2430
197	2371	2418
198	2382	2406
199	2393	2393
200	2404	2381
201	2416	2368
202	2427	2356
203	2440	2344
204	2453	2333
205	2466	2323
206	2478	2310
207	2490	2299
208	2502	2286
209	2514	2275
210	2526	2263
211	2539	2251
212	2552	2240
213	2563	2228
214	2575	2216
215	2587	2204
216	2599	2192
217	2614	2182
218	2627	2171
219	2639	2159
220	2652	2148
221	2667	2138
222	2682	2129
223	2696	2118
224	2710	2108
225	2722	2095
226	2734	2083
227	2747	2072
228	2759	2060
229	2772	2049
230	2783	2036
231	2795	2024
232	2808	2012
233	2821	2001
234	2834	1990
235	2846	1978
236	2857	1965
237	2866	1951
238	2880	1940
239	2892	1928
240	2904	1916
241	2915	1903
242	2927	1891
243	2940	1879
244	2952	1868
245	2968	1858
246	2981	1846
247	2994	1835
248	3006	1823
249	3018	1810
250	3030	1799
251	3045	1788
252	3057	1776
253	3070	1764
254	3081	1752
255	3094	1740
256	3107	1728
257	3118	1716
258	3138	1708
259	3151	1697
260	3165	1685
261	3177	1673
262	3189	1661
263	3201	1649
264	3214	1637
265	3227	1625
266	3242	1614
267	3257	1604
268	3269	1592
269	3284	1581
270	3297	1569
271	3309	1557
272	3322	1545
273	3335	1533
274	3347	1521
275	3359	1509
276	3371	1497
277	3384	1485
278	3396	1473
279	3409	1461
280	3423	1449
281	3436	1437
282	3449	1425
283	3462	1414
284	3474	1401
285	3482	1388
286	3494	1376
287	3506	1363
288	3518	1351
289	3530	1339
290	3542	1327
291	3557	1315
292	3569	1303
293	3581	1291
294	3592	1278
295	3604	1266
296	3618	1254
297	3630	1242
298	3641	1230
299	3652	1217
300	3664	1205
301	3675	1192
302	3687	1180
303	3700	1168
304	3712	1156
305	3725	1144
306	3738	1132
307	3751	1120
308	3763	1108
309	3776	1096
310	3787	1083
311	3800	1071
312	3812	1059
313	3825	1047
314	3838	1035
315	3851	1023
316	3863	1011
317	3875	999
318	3888	987
319	3901	975
320	3914	963
321	3926	951
322	3938	938
323	3949	926
324	3962	914
325	3973	901
326	3984	889
327	3997	877
328	4008	865
329	4021	853
330	4033	840
331	4044	828
332	4057	816
333	4069	804
334	4082	792
335	4093	779
336	4106	767
337	4118	755
338	4130	743
339	4141	730
340	4153	718
341	4164	706
342	4177	694
343	4192	682
344	4204	670
345	4216	658
346	4229	646
347	4241	633
348	4254	621
349	4266	609
350	4278	597
351	4290	585
352	4302	572
353	4315	560
354	4327	548
355	4342	536
356	4357	524
357	4369	512
358	4381	500
359	4393	488
360	4406	476
361	4418	463
362	4429	451
363	4444	439
364	4456	427
365	4470	415
366	4481	403
367	4493	390
368	4505	378
369	4518	366
370	4530	354
371	4543	342
372	4556	329
373	4569	317
374	4580	305
375	4592	293
376	4604	280
377	4617	268
378	4629	256
379	4642	244
380	4653	232
381	4666	219
382	4679	207
383	4692	195
384	4703	183
385	4716	171
386	4727	158
387	4740	146
388	4752	134
389	4764	122
390	4777	109
391	4791	97
392	4803	85
393	4816	73
394	4828	61
395	4841	48
396	4852	36
397	4864	24
398	4875	12
399	4887	0
